0,2990231,(Main/Article),,,,
1,416921,Talk,,,,
2,218139,User,,,,
3,1791154,User talk,,Pages,Articles,Talks
4,29508,Wikipedia,," 5,918,915 "," 2,990,231 "," 416,921 "
5,2704,Wikipedia talk,,,51%,14%
8,1409,,,,,
9,85,,,,,
10,25758,,,,,
11,1418,,,,,
12,373,,,,,
13,97,,,,,
14,338751,,,,,
15,3863,,,,,
100,15860,,,,,
101,597,,,,,
102,7396,,,,,
103,1667,,,,,
104,59611,,,,,
105,13003,,,,,
447,11,,,,,
828,308,,,,,
829,51,,,,,
,5918915,,,,,
,,,Subject namespaces,Talk namespaces,,
,,,0,(Main/Article),Talk,1
,,,2,User,User talk,3
,,,4,Wikipedia,Wikipedia talk,5
,,,6,File,File talk,7
,,,8,MediaWiki,MediaWiki talk,9
,,,10,Template,Template talk,11
,,,12,Help,Help talk,13
,,,14,Category,Category talk,15
,,,100,Portal,Portal talk,101
,,,108,Book,Book talk,109
,,,118,Draft,Draft talk,119
,,,446,Education Program,Education Program talk,447
,,,710,TimedText,TimedText talk,711
,,,828,Module,Module talk,829
