row_id,page_id,page_title,contributor,timestamp,creation_dt,topic,opinion,clean_opinion,turn,segmentation,type,subtype,type_r1,subtype_r1,type_r2,subtype_r2,stance,sentiment,url
0,466101,Raúl Castro,Galio,1154458538,8/1/06 18:55,dictadores,"al que haya llamado a fidel castro dictador de cuba, sepa que su acción viola la política de punto de vista neutral al representar la voz narrativa de la enciclopedia una de las posturas en pugna.","al que haya llamado a fidel castro dictador de cuba, sepa que su acción viola la política de punto de vista neutral al representar la voz narrativa de la enciclopedia una de las posturas en pugna.",1,OK,ARGUMENTATIVE,CO,,CO,,CO,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
1,466101,Raúl Castro,Galio,1154458538,8/1/06 18:55,dictadores,"fidel castro no es dictador para sus simpatizantes dentro y fuera de la isla, ni para los estados que mantienen relaciones diplomáticas con cuba, ni para la constitución y la legislación cubana.","fidel castro no es dictador para sus simpatizantes dentro y fuera de la isla, ni para los estados que mantienen relaciones diplomáticas con cuba, ni para la constitución y la legislación cubana.",1,OK,PERFORMATIVE,IP,,IP,,IP,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
2,466101,Raúl Castro,Galio,1154458538,8/1/06 18:55,dictadores,"técnicamente es el presidente de los consejos de estado y de ministros, además de comandante en jefe de las fuerzas armadas, tres funciones que desempeña el presidente en el resto de los estados americanos a excepción de canadá.","técnicamente es el presidente de los consejos de estado y de ministros, además de comandante en jefe de las fuerzas armadas, tres funciones que desempeña el presidente en el resto de los estados americanos a excepción de canadá.",1,OK,PERFORMATIVE,IP,,IP,,IP,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
3,466101,Raúl Castro,Galio,1154458538,8/1/06 18:55,dictadores,conjeturas y valoraciones personales aparte.,conjeturas y valoraciones personales aparte.,1,OK,,NRC,,NRC,,NRC,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
4,466101,Raúl Castro,Galio,1154458538,8/1/06 18:55,dictadores,"no se discute, es política oficial.","no se discute, es política oficial.",1,OK,,NRC,,NRC,,NRC,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
5,466101,Raúl Castro,Galio,1154458538,8/1/06 18:55,dictadores,--galio... любая проблема? 20:55 1 ago 2006 (cest),--galio... любая проблема? 20:55 1 ago 2006 (cest),1,OK,,SIGN,,SIGN,,SIGN,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
6,466101,Raúl Castro,84.77.149.213,1170117795,1/30/07 0:43,dictadores,"""en nuestra época, el idioma de la política consiste por lo general en la defensa de lo indefendible;","""en nuestra época, el idioma de la política consiste por lo general en la defensa de lo indefendible;",2,OK,ARGUMENTATIVE,CO,,CO,,CO,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
7,466101,Raúl Castro,84.77.149.213,1170117795,1/30/07 0:43,dictadores,"para hacerlo, debe consistir sobre todo en eufemismos, peticiones de principio y pura y simple vaguedad.""","para hacerlo, debe consistir sobre todo en eufemismos, peticiones de principio y pura y simple vaguedad.""",2,OK,ARGUMENTATIVE,CO,,CO,,CO,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
8,466101,Raúl Castro,HAMM,1185950997,8/1/07 6:49,dictadores,--------------------------------------------------------------,--------------------------------------------------------------,3,ERROR,,INVALID,,INVALID,,INVALID,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
9,466101,Raúl Castro,HAMM,1189991543,9/17/07 1:12,dictadores,es dictador pero aun no se declara asi por mas obvio que sea--souls in exile 03:12 17 sep 2007 (cest),es dictador pero aun no se declara asi por mas obvio que sea,4,ERROR,ARGUMENTATIVE,CO,,CO,,CO,,,https://es.wikipedia.org/wiki/Discusión:Raúl_Castro
