"row_id","page_id","page_title","contributor","timestamp","creation_dt","topic","opinion","turn","quality_seg","type","stance","sentiment","url"
"0","466101","Raúl Castro","Galio","1154458538","2006-08-01 18:55:38","dictadores","al que haya llamado a fidel castro dictador de cuba, sepa que su acción viola la política de punto de vista neutral al representar la voz narrativa de la enciclopedia una de las posturas en pugna.","1","","","","","https://es.wikipedia.org/wiki/Discusión:Raúl_Castro"
"1","466101","Raúl Castro","Galio","1154458538","2006-08-01 18:55:38","dictadores","fidel castro no es dictador para sus simpatizantes dentro y fuera de la isla, ni para los estados que mantienen relaciones diplomáticas con cuba, ni para la constitución y la legislación cubana.","1","","","","","https://es.wikipedia.org/wiki/Discusión:Raúl_Castro"
"2","466101","Raúl Castro","Galio","1154458538","2006-08-01 18:55:38","dictadores","técnicamente es el presidente de los consejos de estado y de ministros, además de comandante en jefe de las fuerzas armadas, tres funciones que desempeña el presidente en el resto de los estados americanos a excepción de canadá.","1","","","","","https://es.wikipedia.org/wiki/Discusión:Raúl_Castro"
"3","466101","Raúl Castro","Galio","1154458538","2006-08-01 18:55:38","dictadores","conjeturas y valoraciones personales aparte.","1","","","","","https://es.wikipedia.org/wiki/Discusión:Raúl_Castro"
"4","466101","Raúl Castro","Galio","1154458538","2006-08-01 18:55:38","dictadores","no se discute, es política oficial.","1","","","","","https://es.wikipedia.org/wiki/Discusión:Raúl_Castro"
"5","466101","Raúl Castro","Galio","1154458538","2006-08-01 18:55:38","dictadores","--galio... любая проблема? 20:55 1 ago 2006 (cest)","1","","","","","https://es.wikipedia.org/wiki/Discusión:Raúl_Castro"
"6","466101","Raúl Castro","84.77.149.213","1170117795","2007-01-30 00:43:15","dictadores","""en nuestra época, el idioma de la política consiste por lo general en la defensa de lo indefendible;","2","","","","","https://es.wikipedia.org/wiki/Discusión:Raúl_Castro"
"7","466101","Raúl Castro","84.77.149.213","1170117795","2007-01-30 00:43:15","dictadores","para hacerlo, debe consistir sobre todo en eufemismos, peticiones de principio y pura y simple vaguedad.""","2","","","","","https://es.wikipedia.org/wiki/Discusión:Raúl_Castro"
"8","466101","Raúl Castro","HAMM","1185950997","2007-08-01 06:49:57","dictadores","--------------------------------------------------------------","3","","","","","https://es.wikipedia.org/wiki/Discusión:Raúl_Castro"
"9","466101","Raúl Castro","HAMM","1189991543","2007-09-17 01:12:23","dictadores","es dictador pero aun no se declara asi por mas obvio que sea--souls in exile 03:12 17 sep 2007 (cest)","4","","","","","https://es.wikipedia.org/wiki/Discusión:Raúl_Castro"
"10","466101","Raúl Castro","Gerkijel","1154543966","2006-08-02 18:39:26","en desarrollo","¿a quién se le ocurre decir que una persona está en desarrollo?","5","","","","","https://es.wikipedia.org/wiki/Discusión:Raúl_Castro"
"11","466101","Raúl Castro","Gerkijel","1154543966","2006-08-02 18:39:26","en desarrollo","taichi, creo que le has errado en revertir mi cambio.","5","","","","","https://es.wikipedia.org/wiki/Discusión:Raúl_Castro"
"12","466101","Raúl Castro","Gerkijel","1154543966","2006-08-02 18:39:26","en desarrollo","gerkijel soy marxista de tendencia groucho 20:39 2 ago 2006 (cest)","5","","","","","https://es.wikipedia.org/wiki/Discusión:Raúl_Castro"
"13","466101","Raúl Castro","UnCubano","1154574677","2006-08-03 03:11:17","exilio vs emigración","este tema ya lo habíamos discutido en el artículo cuba y según tus propias palabras, galio el término es fuertemente pov por lo cual es mejor usar emigrar que es un término mas neutral.","6","","","","","https://es.wikipedia.org/wiki/Discusión:Raúl_Castro"
"14","466101","Raúl Castro","UnCubano","1154574677","2006-08-03 03:11:17","exilio vs emigración","me sorprende tu doble rasero.","6","","","","","https://es.wikipedia.org/wiki/Discusión:Raúl_Castro"
"15","466101","Raúl Castro","UnCubano","1154574677","2006-08-03 03:11:17","exilio vs emigración","--uncubano 05:11 3 ago 2006 (cest).","6","","","","","https://es.wikipedia.org/wiki/Discusión:Raúl_Castro"
"16","466101","Raúl Castro","Galio","1154575930","2006-08-03 03:32:10","exilio vs emigración",":creeme que lo pensé bien y no me olvido de mis palabras, que sostengo.","7","","","","","https://es.wikipedia.org/wiki/Discusión:Raúl_Castro"
"17","466101","Raúl Castro","Galio","1154576030","2006-08-03 03:33:50","exilio vs emigración","pero es pov hablar de exiliados cuando hablamos de gente difusa viviendo en otro lado, cosa que recalqué en su momento, no de perseguidos políticos concretos, ¿se entiende la diferencia?","7","","","","","https://es.wikipedia.org/wiki/Discusión:Raúl_Castro"
