"row_id","page_id","page_title","contributor","timestamp","topic","opinion","type","subtype","stance","sentiment"
"0","581601","Discusión:Rafael Correa","194.98.136.11","1216717599","","http://www.hoy.com.ec/temas/temas2008/correa/correa.htm","","","",""
"1","581601","Discusión:Rafael Correa","194.98.136.11","1216717599","","los cuadros aparecen en:","","","",""
"2","581601","Discusión:Rafael Correa","194.98.136.11","1216717599","","http://www.hoy.com.ec/temas/temas2008/correa/correa5.htm","","","",""
"3","581601","Discusión:Rafael Correa","Nihilo","1172447487","democrático y cristiano","decir que es próximo a la ""democracia cristiana"" por definirse como cristiano y de sensibilidad social es hacer un análisis simplista, así como apelar a sus distintos antecedentes con hugo chávez y evo morales ya que el movimiento que representa tiene un programa político de clase no de personificación de valores.","","","",""
"4","581601","Discusión:Rafael Correa","Nihilo","1172447487","democrático y cristiano","también es una pedrada decir que se encuentra dentro de la política social de la iglesia ya que esta no es más que una etiqueta sin fondo praxial, no por decir que se defiende algo se lucha por ello.","","","",""
"5","581601","Discusión:Rafael Correa","Nihilo","1172447487","democrático y cristiano","además, tiene mucho mérito afirmar que el socialismo del siglo xxi no es más que liberalismo sutil, cuando este es la actualización del discurso marxista-leninista a la actualidad.","","","",""
"6","581601","Discusión:Rafael Correa","Nihilo","1172447487","democrático y cristiano","esperaré unos días a modificar esto a ver que opiniones tienen los demás wikipedistas.","","","",""
"7","581601","Discusión:Rafael Correa","Nihilo","1172447487","democrático y cristiano","--ricewind 00:25 26 feb 2007 (cet)","","","",""
"8","581601","Discusión:Rafael Correa","Eldlaflk","1351268536","la base de manta","que tal colegas, di un vistazo pequeño, leí entre párrafos, y no encontré algo que buscaba que es sobre la base de manta, creo que hay que redactar un pequeño párrafo por lo menos, pero si ya está háganmelo notar porque no lo encontré… porfa aclárenme esa duda....","","","",""
"9","581601","Discusión:Rafael Correa","Eldlaflk,Napier","1351269644","la base de manta","gracias","","","",""
"10","581601","Discusión:Rafael Correa","Napier","1351269644","la base de manta",":en rafael correa#con estados unidos hay una pequeña reseña.","","","",""
"11","581601","Discusión:Rafael Correa","Napier","1351269644","la base de manta","y también en rafael correa#balance general (ofertas/cumplimiento) 2006-2013 en la parte de relaciones internacionales -penúltimo-.","","","",""
"12","581601","Discusión:Rafael Correa","Napier","1351269644","la base de manta","pienso que no amerita más.","","","",""
"13","581601","Discusión:Rafael Correa","Napier","1351269644","la base de manta","pero si lo quieres ampliar no habría problema.","","","",""
"14","581601","Discusión:Rafael Correa","Napier","1351269644","la base de manta","si requieres ayuda no dudes en pedirla.","","","",""
"15","581601","Discusión:Rafael Correa","Napier","1351269644","la base de manta","saludos ---- ★ e ★ 16:40 26 oct 2012 (utc)","","","",""
"16","581601","Discusión:Rafael Correa","Eldlaflk","1351298147","la base de manta","muchas gracias --eldlaflk (discusión) 00:35 27 oct 2012 (utc)","","","",""
